Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500 Cabrio 1.3 MJT 75CV Rock	€ 8.500	Aprile 2010	122.000 km	Diesel - Euro 0	Manuale
FIAT 500 1.2 Lounge	€ 7.900	Aprile 2011	79.500 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 7.899	Dicembre 2012	112.200 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop EURO 6+BLUETOOTH+SENSORI POST.+CRUISE	€ 13.200	Maggio 2019	30.900 km	Benzina - Euro 6	Manuale
FIAT 500 Hybrid 1.0 70cv Lounge EU6	€ 13.900	Luglio 2020	34.800 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge 37000 Km Ok Neopatentati	€ 9.500	Dicembre 2012	37.000 km	Benzina - Euro 5	Manuale
FIAT 500 LA NUOVA E La Nuova La Nuova - Icon Berlina	€ 27.900	Febbraio 2021	12.384 km	Elettrico - Euro 0	Automatico
"FIAT 500C 500 C 1.2 ""S"""	€ 14.200	Febbraio 2016	44.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Aut. Dualogic Tetto Apribile Carplay Sensors Cerchi 16	€ 15.980	Dicembre 2020	5.239 km	Benzina - Euro 6	Automatico
Fiat 500 1.2 69cv Lounge Aut. Dualogic Tetto Apribile Carplay Sensors Cerchi 16	€ 15.980	Dicembre 2020	10.583 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge	€ 12.480	Marzo 2018	31.100 km	Benzina - Euro 6	Manuale
Fiat 500C LOUNGE 1200 69 CV CABRIO	€ 13.800	Febbraio 2018	57.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Lounge	€ 8.500	Maggio 2012	71.000 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 Pop NEOPATENTATI	€ 12.400	Settembre 2018	39.230 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 EasyPower Lounge	€ 7.900	Maggio 2013	122.000 km	GPL - Euro 0	Manuale
FIAT 500 1.2 Lounge GPL	€ 12.650	Dicembre 2016	57.291 km	GPL - Euro 6	Manuale
Fiat 500 500 1.2 Pop 69cv	€ 11.750	Settembre 2017	36.075 km	Benzina - Euro 6	Manuale
Fiat 500 500 1.2 S 69cv LED Pelle EU6	€ 12.200	Febbraio 2018	58.400 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 YOUNG KM26000	€ 12.600	Maggio 2018	26.000 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge AUTOMATICA CABRIOLET	€ 11.500	Maggio 2015	73.000 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 69cv Lounge EU6	€ 13.300	Gennaio 2019	32.800 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 MJT 95 CV Lounge tetto panoramico	€ 8.900	Agosto 2013	132.000 km	Diesel - Euro 5	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita	€ 17.950	Luglio 2021	2.500 km	Ibrido - Euro 6	Manuale
FIAT 500 1.4 16V Sport 100HP	€ 5.500	Aprile 2008	179.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.3 Multijet 16V 75 CV Lounge	€ 5.500	Luglio 2007	201.900 km	Diesel - Euro 4	Manuale
FIAT 500 500 1.2 EasyPower Pop	€ 8.200	Agosto 2013	88.000 km	GPL - Euro 0	Manuale
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.2 Pop - CONSEGNA A CASA	€ 9.799	Luglio 2013	55.830 km	Benzina - Euro 5	Automatico
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
"FIAT 500 1200 benzina 51Kw LOUNGE ""Tetto Panoramico"""	€ 8.499	Gennaio 2013	94.721 km	Benzina - Euro 5	Manuale
Fiat 500 1.2 Lounge 69cv 1.2 By Gucci	€ 7.490	Ottobre 2011	104.058 km	Benzina - Euro 4	Manuale
FIAT 500 1.2 Lounge	€ 9.900	Ottobre 2015	104.000 km	Benzina - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge - CONSEGNA A CASA	€ 13.899	Agosto 2016	56.480 km	Diesel - Euro 6	Manuale
FIAT 500 1.2 Pop GPL SUPER PROMO	€ 13.400	Maggio 2019	17.830 km	GPL - Euro 6	Manuale
FIAT 500 0.9 TwinAir Turbo 'S'	€ 8.990	Marzo 2013	85.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge	€ 9.950	Giugno 2015	79.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 Multijet 16V 75 CV Lounge. Per Neopatentati.	€ 5.499	Gennaio 2008	215.000 km	Diesel - Euro 4	Manuale
FIAT 500 1.2 'S'/OK NEOPATENTATI/SENSORI PARCHEGGIO	€ 10.690	Settembre 2015	52.640 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S'/OK NEOPATENTATI/SENSORI PARCHEGGIO	€ 10.690	Settembre 2015	52.640 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S'/OK NEOPATENTATI/SENSORI PARCHEGGIO	€ 10.690	Settembre 2015	52.640 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 14.300	Settembre 2020	49.000 km	Benzina - Euro 6	Manuale
FIAT 500 1200 LOUNGE AUTOM. 69 CV CARPLAY PDC CERCHI ITALIA	€ 16.970	Marzo 2019	16.000 km	Benzina - Euro 0	Automatico
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita - CONSEGNA A CASA	€ 17.299	Novembre 2021	1.810 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S	€ 12.990	Maggio 2018	86.000 km	Diesel - Euro 6	Manuale
FIAT 500 1.2 Lounge	€ 12.800	Aprile 2019	34.000 km	Benzina - Euro 0	Manuale
FIAT 500 Hybrid 1.0 70cv Lounge EU6	€ 13.900	Luglio 2020	30.800 km	Benzina - Euro 6	Manuale
Fiat 500 S 1.2 BENZINA KM 73.624 SI A NEOPATENTATI	€ 10.500	Luglio 2015	73.624 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
FIAT 500 1.3 Multijet 95 CV S - CONSEGNA A CASA	€ 12.999	Gennaio 2018	76.820 km	Diesel - Euro 6	Manuale
Fiat 500e Icon Cabrio	€ 29.900	Marzo 2021	11.500 km	Elettrico - Euro 0	Automatico
FIAT 500 1.2 150° Anniversario Dualogic	€ 6.950	Giugno 2011	154.000 km	Benzina - Euro 5	Automatico
Fiat 500e Action Berlina	€ 28.890	Aprile 2021	3.000 km	Elettrico - Euro 6	Automatico
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Agosto 2017	27.130 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Agosto 2017	27.130 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Agosto 2017	27.130 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 12.699	Agosto 2017	27.130 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 S 69cv	€ 14.000	Febbraio 2018	65.480 km	Benzina - Euro 6	Automatico
FIAT 500 1.2 Lounge	€ 6.599	Luglio 2009	119.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Sport - CONSEGNA A CASA	€ 15.399	Maggio 2020	31.880 km	Ibrido - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 6.500	Ottobre 2010	150.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.3 Multijet 16V 95 CV Longe	€ 12.000	Ottobre 2015	37.000 km	Diesel - Euro 5	Manuale
"FIAT 500 1.2 ""S"""	€ 10.990	Luglio 2014	9.500 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge - CONSEGNA A CASA	€ 13.899	Giugno 2020	23.270 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69cv GPL Pop + Pack Lounge *PREZZO PROMO*	€ 12.890	Settembre 2018	42.150 km	GPL - Euro 6	Manuale
FIAT 500 1.0 Hybrid Dolcevita	€ 16.700	Maggio 2021	10.000 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.0 Hybrid Lounge - CONSEGNA A CASA	€ 15.999	Aprile 2021	14.170 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Pop NEOPATENTATI	€ 10.500	Dicembre 2016	76.900 km	Benzina - Euro 6	Manuale
FIAT 500C C 1.2 Lounge *CAMBIO AUTOMATICO*	€ 8.600	Agosto 2013	129.000 km	Benzina - Euro 5	Automatico
Fiat 500 500 1.2 S GPL	€ 10.400	Luglio 2015	84.900 km	Benzina - Euro 0	Manuale
FIAT 500C C 1.2 Lounge	€ 8.990	Aprile 2011	77.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 Lounge NEOPATENTATI	€ 14.200	Gennaio 2020	18.890 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
"FIAT 500 1.2 ""S"" - CONSEGNA A CASA"	€ 10.499	Dicembre 2015	50.550 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 STAR+ GPL+ INTERNI IN PELLE	€ 13.490	Marzo 2020	29.000 km	Benzina - Euro 6	Manuale
Fiat 500 500 1.2 Lounge 69cv	€ 11.499	Ottobre 2017	39.890 km	Benzina - Euro 6	Manuale
FIAT 500 C 1.0 Hybrid Dolcevita	€ 18.950	Gennaio 2021	4.659 km	Ibrido - Euro 0	Manuale
FIAT 500 1.2 SPORT 69 CV NEOPATENTATO - 24 MESI GARANZIA	€ 6.800	Gennaio 2009	100.000 km	Benzina - Euro 5	Manuale
FIAT 500 1.2 SPORT +Gpl	€ 13.490	Agosto 2019	29.900 km	GPL - Euro 6	Manuale
FIAT 500 1.0 Hybrid Star	€ 15.900	Dicembre 2020	11.239 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Lounge 69cv dualogic	€ 12.000	Agosto 2016	44.693 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge Cabrio	€ 11.500	Novembre 2015	48.881 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 69CV S	€ 14.590	Novembre 2018	33.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 'S'	€ 9.600	Luglio 2014	52.000 km	Benzina - Euro 6	Manuale
FIAT 500 III 2015 1.2 Lounge 69cv my18	€ 12.500	Marzo 2018	35.400 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 hybrid Lounge 70cv LOUNGE 10HYBRID	€ 16.190	Dicembre 2020	3.257 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 Lounge 69 Cv GARANTITA 24 MESI	€ 7.500	Settembre 2012	129.000 km	Benzina - Euro 5	Manuale
Fiat 500 1.2 Lounge	€ 13.990	Novembre 2019	19.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.990	Maggio 2019	51.330 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge 69CV * TETTO PANORAMICO * NAV *	€ 13.800	Luglio 2019	15.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 69cv Lounge Aut. Dualogic Tetto Apribile Carplay Sensors Cerchi 16	€ 16.480	Dicembre 2020	12.647 km	Benzina - Euro 6	Automatico
Fiat 500 1.2 69cv Lounge Aut. Dualogic Tetto Apribile Carplay Sensors Cerchi 16	€ 16.480	Dicembre 2020	12.647 km	Benzina - Euro 6	Automatico
FIAT 500 1.3 MJT 95 CV Sport	€ 7.000	Marzo 2011	140.000 km	Diesel - Euro 5	Manuale
FIAT 500 1.0 HYBRID 70CV SPORT NAVI	€ 14.690	Novembre 2020	15.000 km	Ibrido - Euro 6	Manuale
Fiat 500 1.2 star 69cv my20	€ 14.990	Febbraio 2020	40.899 km	Benzina - Euro 6	Manuale
