Title	Price	Month_Year	Kms	Fuel	Transmission
FIAT 500 1.2 Lounge 69cv my20	€ 15.990	Febbraio 2020	14.806 km	Benzina - Euro 0	Manuale
Fiat 500 500 1.2 Lounge 69cv, NEOPATENTATI	€ 8.500	Gennaio 2011	104.000 km	Benzina - Euro 0	Automatico
FIAT 500 1.2 S	€ 13.500	Agosto 2017	31.000 km	Benzina - Euro 6	Manuale
FIAT 500 500 1.2 Pop	€ 7.800	2010	109.000 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 Pop	€ 12.900	Marzo 2017	27.900 km	Benzina - Euro 6	Manuale
FIAT 500C C 1.4 16V Lounge	€ 9.500	Luglio 2010	99.000 km	Benzina - Euro 5	Automatico
FIAT 500 1.3 Multijet 16V 95 CV Lounge	€ 7.500	Febbraio 2011	191.400 km	Diesel - Euro 5	Manuale
Fiat 500 1.2 Pop	€ 12.600	Giugno 2017	47.579 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 120°	€ 15.400	Gennaio 2020	25.000 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge 69 CV - OK NEOPATENTATI	€ 15.500	Agosto 2020	22.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.3 Multijet 16v 75 Cv Sport	€ 6.500	Gennaio 2009	159.000 km	Diesel - Euro 5	Manuale
Fiat 500 1.3 Multijet 16V 95 CV	€ 11.500	Giugno 2015	98.000 km	Diesel - Euro 5	Manuale
FIAT 500 500 1.2 EasyPower Pop	€ 8.500	Luglio 2012	134.476 km	GPL - Euro 5	Manuale
FIAT 500C 1.3 MJT 95CV Lounge , AZIENDALE	€ 15.280	Aprile 2018	88.735 km	Diesel - Euro 6	Manuale
FIAT 500C 1.3 MJT 95CV Lounge , AZIENDALE	€ 15.280	Aprile 2018	88.735 km	Diesel - Euro 6	Manuale
FIAT 500 1.2 Pop NEOPATENTATO	€ 8.500	Ottobre 2007	80.000 km	Benzina - Euro 4	Manuale
Fiat 500 1.2 Pop easypower Gpl 69cv PRONTA CONSEGNA	€ 12.900	Maggio 2017	50.000 km	GPL - Euro 6	Manuale
FIAT 500C 500 C 1.2 60° Anniversario	€ 17.900	Marzo 2018	28.292 km	Benzina - Euro 6	Automatico
FIAT 500 (2015) 1.2 Lounge	€ 13.400	Agosto 2018	53.175 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Lounge GPL	€ 7.500	Ottobre 2011	164.750 km	GPL - Euro 5	Manuale
Fiat 500 C 1.2 Lounge Promo Finanziamento Gold	€ 12.500	Aprile 2014	60.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge PRONTA CONSEGNA NO VINCOLI OK NEOPATENT	€ 12.900	Gennaio 2018	30.000 km	Benzina - Euro 6	Manuale
FIAT 500 10 Hybrid SPORT Connect pack sport NEOPAT, PROMO	€ 17.300	Aprile 2021	14.884 km	Ibrido - Euro 6	Manuale
FIAT 500 1.2 69CV Lounge	€ 13.990	Maggio 2018	54.850 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 14.600	Agosto 2018	21.147 km	Benzina - Euro 6	Manuale
Fiat 500C 1.2 GPL 69CV 60° Anniversario Uff Italy Lega	€ 14.690	Gennaio 2018	84.781 km	GPL - Euro 6	Manuale
FIAT 500 1.2 EasyPower Lounge	€ 8.800	Settembre 2012	125.000 km	GPL - Euro 5	Manuale
FIAT 500 1.2 Dualogic Star	€ 15.000	Dicembre 2019	38.102 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	56.050 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	56.050 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	56.050 km	Benzina - Euro 6	Manuale
FIAT 500 1.4 16V Sport con GPL	€ 6.400	Giugno 2008	149.000 km	GPL - Euro 4	Manuale
FIAT 500 1.2 Lounge	€ 13.900	Gennaio 2017	35.000 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge	€ 14.900	Luglio 2019	49.900 km	Benzina - Euro 0	Manuale
FIAT 500 1.3 Multijet 16V 95 CV Lounge	€ 6.900	Luglio 2010	162.036 km	Diesel - Euro 5	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge 69 Cv	€ 12.999	Dicembre 2018	33.501 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Collezione	€ 14.999	Maggio 2019	15.181 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 LOUNGE 69cv - KM 98.438 - per NEOPATENTATI	€ 8.950	Novembre 2012	98.438 km	Benzina - Euro 5	Manuale
FIAT 500 1.3 Multijet 16V 75 CV Sport Ok Neopatentati	€ 6.500	Novembre 2008	163.061 km	Diesel - Euro 5	Manuale
FIAT 500 1.2 Lounge BENZINA/GPL OK NEOPATENTATI	€ 9.500	Marzo 2012	80.000 km	GPL - Euro 5	Manuale
FIAT 500C 1.3 Multijet 95 CV Lounge	€ 17.900	Dicembre 2017	50.700 km	Diesel - Euro 6	Manuale
FIAT 500C 1.2 Collezione/OK NEOPATENTATI/APP CONNECT	€ 16.390	Agosto 2018	19.980 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Collezione/OK NEOPATENTATI/APP CONNECT	€ 16.390	Agosto 2018	19.980 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Collezione/OK NEOPATENTATI/APP CONNECT	€ 16.390	Agosto 2018	19.980 km	Benzina - Euro 6	Manuale
Fiat 500 1.0 hybrid lounge 70cv	€ 15.990	Novembre 2020	22.000 km	Benzina - Euro 0	Manuale
Fiat 500 1.2 - Neopatentati.	€ 6.800	Maggio 2009	162.208 km	Benzina - Euro 4	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	53.300 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	53.300 km	Benzina - Euro 6	Manuale
FIAT 500C 1.2 Lounge MY 19	€ 15.500	Maggio 2019	53.300 km	Benzina - Euro 6	Manuale
FIAT 500S 1.2 benzina Sport	€ 9.900	Luglio 2013	92.000 km	Benzina - Euro 5	Manuale
FIAT 500 500 1.2 Rockstar	€ 15.900	Gennaio 2020	42.000 km	Benzina - Euro 6	Manuale
FIAT 500 C DolceVita 1,2 8V	€ 19.200	Gennaio 2020	9.900 km	Benzina - Euro 6	Automatico
Fiat 500 500 0.9 t.air t. Lounge 105cv	€ 11.900	Ottobre 2015	72.300 km	Benzina - Euro 6	Manuale
Fiat 500 1.2 Lounge Tetto Apribile Clima Aut. Cruise	€ 15.300	Gennaio 2020	19.000 km	Benzina - Euro 6	Manuale
FIAT 500C C 1.2 Lounge	€ 9.850	Febbraio 2011	53.050 km	Benzina - Euro 5	Manuale
FIAT 500 1.3 Multijet 95 CV Lounge	€ 13.900	Settembre 2018	78.000 km	Diesel - Euro 6	Manuale
FIAT 500 0.9 T.Air T. CLIMA,CERCHI LEGA,CRUISE	€ 12.800	Ottobre 2017	80.020 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 Pop	€ 12.500	Febbraio 2017	56.800 km	Benzina - Euro 6	Manuale
FIAT 500 0.9 TwinAir Turbo 'S'	€ 11.900	Giugno 2015	54.400 km	Benzina - Euro 6	Manuale
Fiat 500 S 1.2 Benzina 69CV	€ 12.990	Dicembre 2016	49.217 km	Benzina - Euro 0	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
FIAT 500 1.2 'S' - CONSEGNA A CASA	€ 11.699	Agosto 2015	28.770 km	Benzina - Euro 6	Manuale
